id,full_text_file,publication_year,doi,title,location_standardized,location_type,country,state_province,geometry_name,geometry_type,geometry_source
4,04_kennedy_2014,2014,10.1111/fme.12077,Assessment of a catchmentwide salmon habitat rehabilitation scheme on a drained river system in Northern Ireland,"River Main, Northern Ireland, UK",river,United Kingdom,Northern Ireland,"River Main, Northern Ireland, UK",river,manual_standardization_from_review_text
6,06_wilbur_2020,2020,10.1002/rra.3570,Characterizing physical habitat preferences and thermal refuge occupancy of brook trout (Salvelinus fontinalis) and Atlantic salmon (Salmo salar) at high river temperatures,"Cains River, New Brunswick, Canada",river,Canada,New Brunswick,"Cains River, New Brunswick, Canada",river,manual_standardization_from_review_text
11,11_naman_2020,2020,10.1002/nafm.10411,Exploitation of Velocity Gradients by Sympatric Stream Salmonids: Basic Insights and Implications for Instream Flow Management,"Coquitlam River, British Columbia, Canada",river,Canada,British Columbia,"Coquitlam River, British Columbia, Canada",river,manual_standardization_from_review_text
12,12_moniz_2021,2021,10.1002/rra.3855,Chinook salmon rearing habitat-discharge relationships change as a result of morphodynamic processes,"Yuba River, California, USA",river,United States,California,"Yuba River, California, USA",river,manual_standardization_from_review_text
13,13_roni_2023,2023,10.1002/tafs.10399,A comparison of methods for estimating juvenile salmon habitat capacity to assist with restoration planning and evaluation,"Grande Ronde River, Oregon, USA",river,United States,Oregon,"Grande Ronde River, Oregon, USA",river,manual_standardization_from_review_text
14,14_jelovica_2024,2024,10.1016/j.ecolind.2024.111832,Atlantic salmon habitat-abundance modeling using machine learning methods,"Teno catchment, Finland and Norway",watershed,Finland; Norway,,Teno catchment,watershed,manual_standardization_from_review_text
15,15_favrot_2018,2018,10.1002/tafs.10011,Fall and Winter Microhabitat Use and Suitability for Spring Chinook Salmon Parr in a US Pacific Northwest River,"Catherine Creek, Oregon, USA",river,United States,Oregon,"Catherine Creek, Oregon, USA",river,manual_standardization_from_review_text
16,16_heggenes_1990,1990,10.1111/j.1095-8649.1990.tb04325.x,"Seasonal and spatial microhabitat selection and segregation in young Atlantic salmon, Salmo salar L., and brown trout, Salmo trutta L., in a Norwegian river","Gjengedalselva River, Norway",river,Norway,,"Gjengedalselva River, Norway",river,manual_standardization_from_review_text
19,19_wondzell_2007,2007,10.1016/j.landurbplan.2006.10.012,"Simulating riparian vegetation and aquatic habitat dynamics in response to natural and anthropogenic disturbance regimes in the Upper Grande Ronde River, Oregon, USA","Upper Grande Ronde River, Oregon, USA",river,United States,Oregon,"Upper Grande Ronde River, Oregon, USA",river,manual_standardization_from_review_text
20,20_beecher_2002,2002,10.1577/1548-8675(2002)022<0785:EODAVP>2.0.CO;2,Evaluation of depth and velocity preferences of juvenile coho salmon in Washington streams,"Western Washington study streams, Washington, USA",multi_site,United States,Washington,Western Washington study streams,multi_site,manual_standardization_from_review_text
23,23_grantham_2012,2012,10.1080/00028487.2012.683472,The Role of Streamflow and Land Use in Limiting Oversummer Survival of Juvenile Steelhead in California Streams,"Russian River tributaries, California, USA",watershed,United States,California,Russian River tributaries,watershed,manual_standardization_from_review_text
24,24_heggenes_1991,1991,10.1111/j.1600-0587.1991.tb00633.x,Comparisons of Habitat Availability and Habitat Use by an Allopatric Cohort of Juvenile Atlantic Salmon Salmo salar under Conditions of Low Competition in a Norwegian Stream,"Bolstadbekken, Norway",river,Norway,,"Bolstadbekken, Norway",river,manual_standardization_from_review_text
26,26_barber_2018,2018,10.2495/EI-V1-N3-390-400,Uncertainty in minimum instream flow requirements for streams in semi-arid environments,"Touchet River, Washington, USA",river,United States,Washington,"Touchet River, Washington, USA",river,manual_standardization_from_review_text
31,31_fitzgerald_2021,2021,10.5061/DRYAD.KSN02V74X,"Physical and biological constraints on the capacity for life-history expression of anadromous salmonids: an Eel River, California, case study","Eel River, California, USA",river,United States,California,"Eel River, California, USA",river,manual_standardization_from_review_text
32,32_allen_2000,2000,,"Seasonal microhabitat use by juvenile spring chinook salmon in the Yakima River basin, Washington","Yakima River, Washington, USA",river,United States,Washington,"Yakima River, Washington, USA",river,manual_standardization_from_review_text
38,38_ibbotson_1994,1994,10.1111/j.1365-2400.1994.tb00157.x,Spatial and temporal distribution of fish in a small lowland stream,"East Stoke Millstream (River Frome), England, UK",river,United Kingdom,England,"East Stoke Millstream (River Frome), England, UK",river,manual_standardization_from_review_text
39,39_bair_2019,2019,10.5194/esurf-7-841-2019,Quantifying the restoration success of wood introductions to increase coho salmon winter habitat,"Mill Creek, Oregon, USA",river,United States,Oregon,"Mill Creek, Oregon, USA",river,manual_standardization_from_review_text
40,40_johnson_2008,2008,10.1656/1092-6194-15.3.363,Seasonal Habitat Use of Brook Trout and Juvenile Atlantic Salmon in a Tributary of Lake Ontario,"Hart Brook, New York, USA",river,United States,New York,"Hart Brook, New York, USA",river,manual_standardization_from_review_text
42,42_chalmers_2023e,,10.1371/journal.pwat.0000069,Application of watershed-scale habitat modeling and decision-support tools for reservoir reoperations in coastal northern California,"Coyote Creek, California, USA",river,United States,California,"Coyote Creek, California, USA",river,manual_standardization_from_review_text
42,42_chalmers_2023e,,10.1371/journal.pwat.0000069,Application of watershed-scale habitat modeling and decision-support tools for reservoir reoperations in coastal northern California,"Guadalupe River, California, USA",river,United States,California,"Guadalupe River, California, USA",river,manual_standardization_from_review_text
42,42_chalmers_2023e,,10.1371/journal.pwat.0000069,Application of watershed-scale habitat modeling and decision-support tools for reservoir reoperations in coastal northern California,"Stevens Creek, California, USA",river,United States,California,"Stevens Creek, California, USA",river,manual_standardization_from_review_text
