reviewer,id,full_text_file,doi,title,what species is the focus?,what lifestage is the focus?, where is the study located? ,what kinds of cover are described?,how is cover quantified?,"how is habitat use by fish measured (e.g., field method and metric)?",how does cover influence juvenile rearing? ,what are the primary drivers of juvenile rearing/presence/recovery? ,should this article be included in the final analysis?,Why? Use categories from SharePoint
PG,17,17_pacheco_2018,10.1002/nafm.10243,Update to the Toe-Width Methodology: Determining Preferred Discharges for Spawning and Rearing Salmonids,"cutthroat, pink, chum, coho, RBT, steelhead, sockeye, chinook, mountain whitefish, char ",rearing and spawning,"Washington, USA","the study focuses on elevation change, but two of the three types of elevation change could be considered cover","(1) distinct change in the composition of the substrate, commonly the transition from gravel or cobble to soil, (2) distinct change in vegetation with the initial presence of a longitudinal terrestrial vegetation line, commonly grasses but may include shrubs or trees",Toe-width transects,not the focus of the study,the study was evaluating rapid assessment methods for determining preferred spawning and rearing discharges,N,1a
PG,21,21_ahmadi-nedushan_2008,10.1002/rra.1059,Instream flow determination using a multiple input fuzzy-based rule system: A case study,Atlantic salmon,spawning and parr habitat,"Romaine River, Northeastern Quebec","no cover - water depth, velocity and substrate composition",no cover,Elicitation of expert knowledge,cover is suggested for future study,the study evaluated the use/sensitvty of expert opinion in WUA,N,1a
PG,26,26_barber_2018,10.2495/EI-V1-N3-390-400,Uncertainty in minimum instream flow requirements for streams in semi-arid environments,"salmon (chinook, coho, sockeye), steelhead, trout, bull trout","spawning, rearing, holding","Touchet River, Washington","substrate, cover type",substrate and cover preference values,vague - collected during field investigations at the same time velocity and depth characteristics are being compiled,"was not evaluated, prefernce curves used in WUA to evaluate flow, study highlights the senstivity and importantce of local preference curves",results/reporting focused on adults,Y,1b
PG,38,38_ibbotson_1994,10.1111/j.1365-2400.1994.tb00157.x,Spatial and temporal distribution of fish in a small lowland stream,"Atlantic salmon, dace, eel, grayling, trout, roach, pike","parr, smolts or young-of-the-year","East Stoke Millstream, England",instream or outstream cover,"Bed material predominant particle size, instream or outstream cover presence","monthly depletion electrofishing, transects of water velocity. substrate, depth and cover at 0.5m intervals across the stream","the abundance of all the species, except salmon, was positively correlated with either instream or outstream cover","depth, velocity, width:depth ratio, instream cover, outstream cover and substrate all had signifanct coeffiencts with some fish species. For salmon: depth, velocity, width:depth ratio. For trout: depth, velocity, width:depth ratio, outstream cover and substrate",Y,3a
PG,39,39_bair_2019,10.5194/esurf-7-841-2019,Quantifying the restoration success of wood introductions to increase coho salmon winter habitat,coho,juvenile,"Mill Creek, Oregon",changes of stream velocity and shear stress after large wood restoration,modeled survivable habitat during bankfull conditions (velocity below the critical swim speed),"topographic survey, location of introduced wood, water surface elevation monitoring, water loggers (level and velocity)","Modeling results indicated reductions in shear stress after the LW pieces were added, which resulted in a substantial increase in fish habitat in terms of substrate stability. Reach area with acceptable habitat in terms of velocity increased, with a reach interaction with floodplain connectivity. The proportion of the wetted channel with acceptable habitat for fish to shelter within channel bed sediment increased for all flow levels. Resulted in approximately twice as much simulated winter rearing habitat in all sites",mean depth-averaged flow velocity and shear stress (channel bed stability) changes pre- and post-LW,Y,"2b, 3b"
PG,42,42_chalmers_2023e,10.1371/journal.pwat.0000069,Application of watershed-scale habitat modeling and decision-support tools for reservoir reoperations in coastal northern California,"chinook, steelhead","immigration, spawning, incubation, fry rearing, juvenile rearing, and emigration","Coyote Creek, Stevens Creek, and Guadalupe River, California","stream cover %, the areal percent of a habitat unit which contained the categories of cover defined in Flosi et al., 2010, the summer cover was defined as
the areal proportion of small cobble ",15% (steelhead) and chinook (20%) cover threshold for fry and juvenile rearing,"field survey data, which was incorpoated into the model with suitability curves and thrsholds for depth, velocity, temperature and cover","relationship is part of model (static input), evluation of reservoir operations is focus of study","impacts to depth, velocity, stream temperature, cover by reservoir releases (0-2% change)",Y,1b
PG,43,43_tullos_2014,10.1007/s10641-014-0362-4,"Fish use of turbulence around wood in winter: physical experiments on hydraulic variability and habitat selection by juvenile coho salmon, Oncorhynchus kisutch",coho,overwintering juvenile,"Oregon Hatchery Research Center in Alsea, Oregon",large wood,"flow strength, depth, distance to wood, or based on temporal or spatial variability of the flow field","prototype of a full channel jam (based on Canal Creek, a tributary of the Alsea River), fish were observed using underwater videogrammetry, flow field measured by Acoustic Doppler Velocimeters","fish primarily selected microhabitats near the bed and the wood, in regions of minimum velocities","depth, and distance to wood to a lesser extent, appeared to dominate selection of habitats over the hydraulics of the flow field",Y,3a
PG,44,44_conallin_2014,10.1051/kmae/2014006,Daytime habitat selection for juvenile parr brown trout (Salmo trutta) in small lowland streams,brown trout,juvenile,Denmark,"solid cover (i.e. boulder, wood and log jams, undercut bank) (SOL), reduced visibility cover (water surface tension), and no cover", present or absent according to three main categories,"habitat selection (HIS), transect at intervals corresponding to 5, 20, 40, 60, 80 and 95% of the wetted width, measured water depth, water velocity, substrate composition and cover, single pass electrofishing","In this study, preference for cover was significant in all sites but the selection between cover types varied among sites with ‘solid cover’ and to a lesser extent ‘reduced visibility cover’ being most important.","daytime summer conditions water depth is a significant variable for parr habitat selection, with cover also being important",Y,3a
PG,48,48_mclaren_2024,10.1007/s10750-024-05671-7,The reach-scale biogeomorphic effect of submerged macrophytes on trout habitat suitability,rainbow trout,subadult and adult,"Henrys Fork of the Snake River, Idaho","gradient of submerged macrophyte coverage (32–94%), habitat type - ""macrophyte clumps”, “emergent margins”, “thalweg/intermacrophyte space”, and “gravel bars”.","30 randomly located sample points (each a ~ 1 m radius) within each reach, macrophyte coverage (%), median substrate size (mm), flow velocity (m s−1) at 20%, 60%, and 80% depth, water depth (m), maximum submerged or emergent macrophyte growth height above the substrate in absolute (m) and relative (% of maximum depth) terms","aerial imagery (peak cover), transects of physical habitat, snorkel surveys, wading surveys and previous radio telemetry study for trout habitat preference, and bioenergetics modeling","juveniles excluded, young-of-the-year trout would have exhausted resources available for sampling","submerged macrophyte coverage increased the frequency of habitat types with higher trout growth potential but reduced the occurrence of preferred habitat types (reduced flow velocities, and increased invertebrate drift). no relationship between reach-scale trout growth potential and submerged macrophyte coverage. However, an outlier of very high trout growth potential at 94% submerged macrophyte coverage suggests a potential threshold effect.",N,4
PG,56,56_boudreault_2022,10.1016/j.ecolmodel.2022.109905,A new look at habitat suitability curves through functional data analysis,Atlantic salmon,parr,"Quebec, Canada","no cover - water depth, velocity and substrate (D50)",no cover,"transects, single pass electrofishing",this study is comparing and proposing methods - HSC developed at the river or regional scale did not fit well sitespecific HSC,"Shallow waters (< 15 cm) were mostly avoided by parr, for velocity, preferred values were between 0.25 and 0.35 m/s, 60 – 130 mm range were the most preferred D50 values among the two rivers",N,1a
PG,1,01_gard_2023a,10.51492/cfwj.109.12,Central Valley anadromous salmonid habitat suitability criteria,"chinook, steelhead","spawning, fry rearing, juvenile rearing","Sacramento, Tuolumne, American, Feather and Yuba rivers, Clear Creek","Cobble (75–300 mm), Boulder (> 300 mm), Fine woody vegetation (< 25 mm diameter), Fine woody vegetation + overhead, Branches, Branches + overhead, Log (> 300 mm diameter), Log + overhead , Overhead cover (> 0.6 m above substrate), Undercut bank, Aquatic vegetation, Aquatic vegetation + overhead, Rip-rap",the HSI for each cover group was calculated by dividing the percent of occupied locations in each group by the percent of occupied locations in the group with the highest percent of occupied locations,"reviewed gray literature (agency and consultant reports), snorkeling or scuba, with numbered tags dropped at fish locations",Cover HSC showed consistent optimal HSI values for complex woody cover and undercut banks,"study observed optimal depth, velocity and cover by species and life stage presence",N,3a
PG,2,02_gard_2023b,10.51492/cfwj.109.14,Development of habitat suitability criteria for macroinvertebrate community metrics for use in habitat restoration projects,"macroinvertebrate (baetids, chironomids and hydropsychids)",represent food supply for juvenile salmonids,Sacramento River and Battle Creek,no cover,no cover,"mesohabitat type, depth, velocity and substrate, customized macroinvertebrate Surber sampler","""there is little overlap between macroinvertebrate habitat and juvenile salmonid physical habitat, which is generally slow, shallow with woody cover""",no juvenile salmon,N,"1a, 4"
PG,3,03_maki-petays_2002,10.1139/F01-209,Transferability of habitat suitability criteria of juvenile Atlantic salmon (Salmo salar),Atlantic salmon,juvenile ,"Tenojoki, Simojoki, Pyhäjoki, and Koitajoki, Finnland","no cover - water depth, velocity and substrate composition",no cover,"snorkel survey and electrofishing, depth of water column, mean water velocity, and substratum particle size were recorded for each fish position",the optimal substrate size varied from large pebbles to boulders for salmon <9 cm and from cobbles to large boulders for salmon >9 cm.,"gradient from shallow, low-velocity habitats with coarse substrates to deep, swift currents with finer substrates",N,1a
PG,4,04_kennedy_2014,10.1111/fme.12077,Assessment of a catchmentwide salmon habitat rehabilitation scheme on a drained river system in Northern Ireland,"Atlantic salmon, brown trout",juvenile salmon between 0+ (summer) and 1+ (summer) age classes,"River Main, Northern Ireland",flow deflectors (built from rock and engineered to reduce base width by around 33%) or random boulder addition,"immediately before enhancement work and then again 5 years, including control sites","transects of habitat characteristics (depth, flow velocity and substrate), electrofishing, batch marking","No significant difference was evident in the fry index or 0+ salmon densities between pre-enhancement and postenhancement influenced periods, older salmon parr (>0+) exhibited a general increase in density at enhancement sites after habitat works and showed a significant difference between control and treatment sites post-works, increase in >0+ salmon density at enhanced sites corresponded with observed changes in habitat characteristics (substrate, depth, stream bed cover). 0+ and 1+ trout densities were not significantly different between control and boulder sites but that deflector-enhanced sites had significantly higher densities, >1+ trout higher abundance at both boulder and deflector enhanced sites relative to controls","deflector enhanced sites showed greater diversity in habitat characteristics after 5 years, with nursery, spawning and holding habitat all identified, and flow velocity increased significantly, sites at which boulders was added also showed no significant changes in depth, width and flow velocity but did indicate a significant increase in mean substratum particle size relative to the pre-enhancement assessment",Y,"3a, 3c"
PG,5,05_braaten_1997,10.1002/(SICI)1099-1646(199707)13:4<345::AID-RRR445>3.3.CO;2-0,Development and evaluation of bioenergetic-based habitat suitability criteria for trout,"rainbow trout, Colorado River cutthroat trout","rainbow trout (mean weight 187 g, range 82±322 g), and for Colorado River cutthroat trout (mean weight 16 g, range 8±28 g)","Green River, Colorado",no cover,no cover,compared suitable velocity (literature) applied to metabolic models to presence/observed velocity,habitat suitability criteria was based on net energy gain using velocity (literature) applied to metabolic models,"rainbow trout, as a group, were using energetically profitable stream locations, but some rainbow trout used non-profitable velocities, cutthroat trout used signi®cantly lower velocities than predicted",N,1a
